filename,area,perimeter,equivalent_diameter,roundness,ellipticity,solidity,convexity,protrusions
A12_0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D12_0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C4_0.971,4458.0,308.17168617248535,75.33990901527129,0.5898810693920922,0.6694072095492749,0.8133552271483306,0.8320551519776438,2
C1_0.984,3710.0,218.2587594985962,68.72931478610458,0.9786793134104745,0.8354418371333776,0.9818711128754797,0.9526356274705313,0
A1_0.979,3609.0,219.04243564605713,67.7873256365023,0.9452359400642832,0.8771073670054577,0.9779162715079257,0.9583348544414869,0
B9_0.984,3573.0,214.8157148361206,67.44838688463007,0.9729953891948315,0.8742774538991551,0.9833493876427687,0.9542015478719071,0
B4_0.984,3397.5,208.16607284545898,65.77105254774105,0.9852567779152146,0.9592039971164991,0.9870714700755375,0.9603355044332275,0
B2_0.985,3703.0,219.0822238922119,68.66444519658124,0.969503306342592,0.9391217938699427,0.9852334707995211,0.9571786655665336,0
D1_0.985,3409.5,208.9530258178711,65.88710213520199,0.9813032333867283,0.8972840977714254,0.982564841498559,0.9547834503499094,0
D11_0.883,256.0,65.94886147975922,18.0540666735282,0.7396652649315292,0.44555368351202995,0.9360146252285192,0.9581537561122503,1
B11_0.981,5186.0,277.55550956726074,81.25897045247714,0.8459460583284046,0.7599047001780626,0.9406003446086878,0.9177425161443911,1
B3_0.983,3857.0,222.0298957824707,70.07770632693055,0.9831880531335603,0.8989933305621407,0.9846821547102375,0.9611005175917938,0
B12_0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D4_0.983,3532.5,212.36824226379395,67.0650333018404,0.9842669207541266,0.9704041038889617,0.9850808700501952,0.9562971264183501,0
A10_0.985,3985.0,226.74119758605957,71.23102965540807,0.9740411785359688,0.8327144817891883,0.980319803198032,0.9534351192556488,0
A9_0.985,3567.5,213.4822597503662,67.39645447531119,0.9836718954623007,0.8797491714339908,0.9838665195808053,0.9553640422881684,0
A4_0.986,3679.5,216.5726556777954,68.44621906908395,0.9858059322350194,0.969110553009635,0.9832977017637627,0.9530271218942239,0
A3_0.923,3523.0,213.86406326293945,66.97479313967291,0.9679365278436484,0.8333000007743754,0.9792911744266852,0.9554956528535327,0
B1_0.984,3558.0,216.72404098510742,67.30665866144084,0.9519225788527602,0.885775668239837,0.9739939775526965,0.9512019735372552,0
D9_0.983,6407.5,311.1251583099365,90.32321065424189,0.8318178155536617,0.6766534535305528,0.9420716018525326,0.9255525965607091,2
A2_0.985,3521.0,212.50752925872803,66.95577971327425,0.9797770110428851,0.9537331558172452,0.9831076364651682,0.9546846910946585,0
C3_0.984,3658.0,216.51979064941406,68.24595412653578,0.9805243159025782,0.9855611696508441,0.9867817642298354,0.9602970805189355,0
D10_0.985,4107.5,230.41831588745117,72.31757345209863,0.9721951271987562,0.7968500213593797,0.9828906436946638,0.9510054942824553,0
C9_0.985,3654.5,217.53008842468262,68.2132972098157,0.9705080844649763,0.8262285911957273,0.9858376045319666,0.9620765875938779,0
D2_0.981,3342.0,213.7738208770752,65.23163771135073,0.9189825613467716,0.8762986210015574,0.9618650165491438,0.9447957974269662,1
C12_0.985,3709.5,217.52252864837646,68.72468327460729,0.9851826458746996,0.8481281894709517,0.9874883535205644,0.9622441114269692,0
A11_0.986,3813.5,225.75275993347168,69.6814107481152,0.9403022553969952,0.7624489052266475,0.9706032069228812,0.945429844932673,0
A5_0.986,4361.0,242.721923828125,74.51575440529368,0.9302034358156513,0.7683960485534329,0.9739810161920714,0.9511267732840747,0
C10_0.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D3_0.986,3723.5,218.80855083465576,68.85424783425768,0.9773106751009685,0.8945140008330964,0.980513495720869,0.9492745667659472,0
A8_0.981,5035.5,279.702672958374,80.07120410930456,0.808833687197909,0.9287024353431644,0.9329319129226493,0.9307498530036385,2
C2_0.984,3338.5,206.86076259613037,65.19747096397482,0.9804038359641729,0.9677945334546628,0.982200647249191,0.9551528758004167,0
C11_0.970,4587.5,274.3614459037781,76.42634631769701,0.7658430497708366,0.750155293476576,0.9403505175771241,0.8663793657675095,1
B10_0.985,3817.5,221.29537296295166,69.71794576740255,0.9795897741684748,0.8759792162486043,0.986816595579682,0.9624055298655623,0
